,DAY,TIME,River Road YARRAWONGA - kWh Consumption,Beatties Road YARRAWONGA - kWh Consumption,40 Bailey Street BUNDALONG - kWh Consumption,40 Bailey Street BUNDALONG - kWh Generation,Kerr Street WANGARATTA - kWh Consumption,Detour Road WANGARATTA - kWh Consumption,Buffalo Creek Road BUFFALO CREEK - kWh Consumption,Murray Valley Highway BANDIANA   - kWh Consumption,261 Whytes Road BARANDUDA  - kWh Consumption,Embankment Dr MOUNT BEAUTY - kWh Consumption,Back Porepunkah Rd BRIGHT - kWh Consumption,228 Phillipson Street WANGARATTA - kWh Consumption,Halls Road MYRTLEFORD - kWh Consumption,Greenwattle Gap Road CORRYONG - kWh Consumption,83 Thomas Mitchell Drive WODONGA - kWh Consumption,83 Thomas Mitchell Drive WODONGA - kWh Generation,Great Alpine Road FREEBURGH - kWh Consumption,Mill Street WODONGA - kWh Consumption,Faithful Street WANGARATTA - kWh Consumption,Holdsworth Road BENALLA - kWh Consumption,Hawthorn Lane BRIGHT - kWh Consumption,Detour Road WANGARATTA - kWh Consumption.1,Swan Street WANGARATTA - kWh Consumption,Sandford Road WANGARATTA - kWh Consumption,Back Wahgunyah Road WAHGUNYAH - kWh Consumption,South Street WODONGA - kWh Consumption,Cadel Terrace WAHGUNYAH - kWh Consumption,Beechworth Road WODONGA - kWh Consumption,Nariel Rd CUDGEWA - kWh Consumption,Murray Valley Hwy BANDIANA MILPO - kWh Consumption,Kilfera Road MOLYULLAH - kWh Consumption,Great Alpine Road MYRTLEFORD - kWh Consumption,Witt Street YARRAWONGA - kWh Consumption,Witt Street YARRAWONGA - kWh Generation,Wodonga WTP
0,Monday,00:00:00,10.589,34.52,0.956,0,5.855,38.848,0.014,58.079499999999996,14.184,11.8235,35.8,5.3555,20.0795,17.228,10.64,0,27.951999999999998,293.36,38.964,20.287,0.0,31.951,5.524,14.7515,14.344,23.858,55.406,103.768,5.03,11.22,32.096000000000004,14.4555,34.32,0,295.3
1,Monday,00:30:00,0.022,32.4195,1.192,0,1.376,38.783500000000004,0.014,58.064,12.963000000000001,10.544,35.8,4.579,19.984,17.48,11.12,0,24.0785,292.68,54.18000000000001,20.208,0.0,32.064,0.28400000000000003,14.732000000000001,14.259,21.772,4.3870000000000005,103.616,5.03,11.63,26.726,14.3035,28.003999999999998,0,292.7
2,Monday,01:00:00,0.022,32.352000000000004,0.9630000000000001,0,1.344,38.72,0.014,57.688,12.312000000000001,10.3345,35.65,4.7595,19.488,15.84,10.9755,0,19.056,292.97,60.808,20.2795,0.0,32.352,9.719999999999999,14.728,14.270499999999998,20.008,2.598,103.55199999999999,5.03,11.379999999999999,17.234,14.439499999999999,26.112000000000002,0,293.5
3,Monday,01:30:00,0.022,34.775999999999996,1.4715,0,1.3599999999999999,38.735,0.014,57.120000000000005,12.131,13.8235,35.55,4.6080000000000005,19.408,15.5195,10.7355,0,18.272,293.0,70.604,20.228,0.0,32.432,0.288,14.8395,14.254999999999999,18.042,2.5365,103.45599999999999,5.03,11.25,5.684,13.455,20.555999999999997,0,294.05
4,Monday,02:00:00,0.022,34.16,1.6275,0,1.3915,37.5035,0.014,56.8715,11.636,13.440000000000001,32.0,3.8434999999999997,19.536,15.055499999999999,10.4955,0,9.2635,292.4,68.684,20.235500000000002,0.0,32.56,0.292,14.692,14.2515,15.975999999999999,2.5945,103.188,5.035,11.24,5.4719999999999995,13.9435,22.804000000000002,0,289.5
5,Monday,02:30:00,0.022,32.8475,1.8639999999999999,0,1.344,37.536,0.014,42.7515,10.576,11.8875,31.950000000000003,3.424,18.432,14.3585,10.416,0,8.751999999999999,288.28,63.964,20.176000000000002,0.0,32.48,4.14,14.668,14.3155,15.986,2.447,103.09200000000001,5.04,36.970000000000006,4.75,15.76,20.584,0,288.35
6,Monday,03:00:00,0.022,31.512,1.492,0,1.344,37.471999999999994,0.014,41.8875,10.256,7.104,31.85,3.448,15.312,10.6955,10.319500000000001,0,7.327500000000001,287.99,61.144000000000005,20.14,0.0,32.3675,4.456,14.707999999999998,14.2795,14.202,3.1559999999999997,103.268,5.03,41.6,4.656000000000001,15.3915,24.764000000000003,0,287.15
7,Monday,03:30:00,0.022,32.456,1.911,0,1.423,37.6155,0.014,41.896,10.204,13.616,31.75,3.2670000000000003,11.552,10.77,10.3195,0,7.823,288.19,62.556,20.155,0.0,32.463499999999996,0.292,13.783999999999999,14.3355,11.984,2.3865,103.112,5.035,41.77,4.648,11.1435,27.084000000000003,0,282.55
8,Monday,04:00:00,0.022,32.412,1.8515000000000001,0,1.3599999999999999,37.439499999999995,0.014,40.096000000000004,10.1075,12.688,30.8,4.28,11.295499999999999,8.359,10.543,0,7.839500000000001,287.83,60.824,20.167499999999997,0.0,32.48,0.288,7.9915,14.34,11.732,2.6325,102.928,5.035,41.64,4.162,11.447500000000002,29.5,0,284.6
9,Monday,04:30:00,3.052,30.240000000000002,2.172,0,1.3599999999999999,37.504,0.014,40.111999999999995,9.7915,10.272,30.6,4.6955,11.327499999999999,5.504,10.5915,0,7.424,288.11,46.824,20.0875,0.0,32.4315,0.536,7.884,14.2955,11.905999999999999,2.4715,102.532,5.025,76.83,4.13,14.28,37.936,0,280.70000000000005
10,Monday,05:00:00,11.762,20.756,2.216,0,1.3599999999999999,37.487,0.014,40.056,8.451,10.895,30.450000000000003,5.648,11.776,5.1754999999999995,10.607,0,7.632,263.68,48.736,20.06,0.0,32.623999999999995,4.244,8.2715,14.2955,12.232,2.636,102.324,5.035,77.58,4.052,14.375499999999999,41.404,0,279.2
