Interval End,Yarrawonga Offtake Pump station,Yarrawonga Wastewater Winter Storage - Irrigation,Non Potable Offtake Water Pump Station (purple pipe),Wangaratta Kerr St Tanks,Wangaratta Wastewater Purification Plant,Myrtleford Buffalo Creek Sewer Pump Station,Baranduda Low Level Water Pump Station,Wodonga (Baranduda) Wastewater Purification Plant,Mount Beauty Wastewater Purification Plant,Bright Wastewater Purification Plant,Wangaratta - Phillipson St Storage  Clear Water Pump Station,Myrtleford Water Treatment Plant & Reservoir,Corryong Water Treatment Plant - Water Storage 3,Wodonga Head Office,Bright Water Treatment Plant & Off stream storage,Wodonga Raw Water Pump Station,Wangaratta Offtake / Treatment Plant / Distribution Pumping,Benalla Wastewater Purification Plant / Farm,Wangaratta Wastewater Purification Plant,Wangaratta Swan St Sewer Pump Station,Wangaratta Trade Waste Treatment Plant,Wahgunyah Wastewater Purification Plant,Wodonga Pump Station 01,Wahgunyah Water Treatment Plant,Wodonga High Level Water Pump Station,Corryong Offtake Sewer Pump Station (Nariel Creek),Wodonga Water Treatment Plant,Benalla Water Treatment Plant,Myrtleford Wastewater Purification Plant - Area 2 (Depot),Yarrawonga Water Treatment Plant,Wodonga West Wod Wastewater Purification Plant
Tue 01 Jan 2019 00:00,0.022,4.224,0.632,1.152,15.488,16.789,43.12,16.032,14.048,29.1,3.223,3.936,3.528,10.048,33.568,297.24,26.352,19.44,32.479,12,30.232,14.584,18.192,2.608,103.784,4.82,7.76,3.828,14.304,12.944,214.2
Tue 01 Jan 2019 00:30,0.022,4.2,0.512,1.311,15.488,16.747,42.943,11.584,11.263,29.1,3.312,3.68,3.67,10.624,59.904,297.3,27.928,19.488,32.32,0.288,30.167,14.544,17.428,2.99,103.672,4.81,7.7,3.852,22.959,25.928,217
Tue 01 Jan 2019 01:00,0.02,4.184,0.975,1.28,15.424,16.678,42.799,12.56,18.048,29,3.352,3.902,3.287,10.687,67.616,296.98,40.112,19.624,32.256,7.992,29.863,14.558,14.772,2.732,103.344,4.8,7.68,3.876,22.32,13.664,217
Tue 01 Jan 2019 01:30,0.022,1.136,0.904,1.312,15.456,16.643,42.671,12.479,15.936,29,3.382,3.711,3.432,10.655,61.312,296.78,58.272,19.696,32.223,7.663,29.903,14.544,14.676,3.668,103.592,4.78,7.72,3.876,13.503,25.296,220.2
Tue 01 Jan 2019 02:00,0.022,0.608,0.751,1.184,15.36,16.628,42.832,10.104,8.992,29.1,3.912,3.711,3.367,10.56,62.111,297.16,56.952,19.632,32.288,0.288,29.984,14.584,14.796,2.733,103.6,4.78,7.62,3.868,13.664,12.064,222.6
Tue 01 Jan 2019 02:30,0.02,0.175,0.647,1.248,15.424,16.583,42.56,10.048,8.416,29.1,3.616,3.775,3.552,9.92,62.687,297.28,37.44,19.592,32.415,10.144,29.776,14.527,12.552,2.962,103.504,4.77,7.58,3.892,13.632,15.376,215.4
Tue 01 Jan 2019 03:00,0.022,0.303,0.51,1.248,15.36,16.518,42.272,10.079,18.464,29.3,3.559,4,3.496,10.304,34.464,297.36,20.92,19.486,32.032,0.288,29.824,14.488,12.076,2.84,103.256,4.77,7.74,3.86,13.664,21.128,215.4
Tue 01 Jan 2019 03:30,0.02,9.288,1.144,1.248,15.456,16.496,29.6,9.983,11.072,29,3.624,3.615,3.528,10.432,27.04,297.76,22.92,19.576,32.703,0.352,28.255,14.528,12.3,2.595,103.432,4.76,7.68,3.812,13.648,12.56,217.7
Tue 01 Jan 2019 04:00,0.022,9.327,1.216,1.312,15.392,16.425,0.894,9.872,10.719,29.1,4.375,3.616,3.599,10.336,27.52,268.06,22.056,19.4,32.608,9.495,17.536,14.504,11.112,45.258,103.096,4.77,7.78,3.88,13.776,24.488,215.4
Tue 01 Jan 2019 04:30,0.022,9.312,2.104,1.248,15.36,16.361,0.894,7.112,11.808,28.9,3.847,3.807,3.472,9.759,10.944,168.24,22.536,19.327,32.223,0.288,17.496,14.496,10.612,89.322,102.784,4.75,7.52,3.864,13.52,13.24,212.3
