Techone Facility name,DLF,MLF
Yarrawonga Offtake Pump station,1.1011,1.0002
Yarrawonga Wastewater Winter Storage - Irrigation,1.1011,1.0002
Yarrawonga Water Treatment Plant,1.1011,1.0002
Non Potable Offtake Water Pump Station (purple pipe),1.1011,1.0002
Wangaratta Kerr St Tanks,1.0681,0.9903
Myrtleford Buffalo Creek Sewer Pump Station,1.0755,0.9882
Baranduda Low Level Water Pump Station,1.0523,0.9735
Wodonga (Baranduda) Wastewater Purification Plant,1.0597,0.9735
Bright Wastewater Purification Plant,1.0681,0.9882
Wodonga West Wod Wastewater Purification Plant,1.0305,0.9712
Wangaratta - Phillipson St Storage  Clear Water Pump Station,1.0755,0.9903
Myrtleford Water Treatment Plant & Reservoir,1.0755,0.9882
Corryong Water Treatment Plant - Water Storage 3,1.0597,0.9735
Benalla Wastewater Purification Plant / Farm,1.0755,0.9903
Bright Hawthorn Lane Sewer pump station,1.0755,0.9882
Wangaratta Wastewater Purification Plant,1.0755,0.9903
Wangaratta Swan St Sewer Pump Station,1.0755,0.9903
Wangaratta Trade Waste Treatment Plant,1.0755,0.9903
Wahgunyah Wastewater Purification Plant,1.0523,0.9712
Wahgunyah Water Treatment Plant,1.0755,0.9903
Wodonga High Level Water Pump Station,1.0597,0.9735
Corryong Offtake Sewer Pump Station (Nariel Creek),1.0597,0.9735
Wodonga Water Treatment Plant,1.0523,0.9735
Benalla Water Treatment Plant,1.0681,0.9903
Myrtleford Wastewater Purification Plant - Area 2 (Depot),1.0681,0.9882
Wodonga Head Office,1.0597,0.9735
Wangaratta Offtake / Treatment Plant / Distribution Pumping,1.0681,0.9903
Wodonga Pump Station 01,1.0597,0.9712
Wodonga Raw Water Pump Station,1.0523,0.9712
Mount Beauty Wastewater Purification Plant,1.0523,0.9882
Wangaratta Wastewater Purification Plant,1.0755,0.9903
Bright Water Treatment Plant & Off stream storage,1.0755,0.9882
